season,race,predicted_winner,win_probability
2024,Abu Dhabi Grand Prix,PIA,0.06877654045820236
2024,Australian Grand Prix,VER,0.07445773482322693
2024,Azerbaijan Grand Prix,PIA,0.05302243307232857
2024,Bahrain Grand Prix,RUS,0.06282612681388855
2024,Belgian Grand Prix,PIA,0.07014807313680649
2024,British Grand Prix,PIA,0.056504782289266586
2024,Canadian Grand Prix,RUS,0.07016339898109436
2024,Dutch Grand Prix,NOR,0.06324674189090729
2024,Emilia Romagna Grand Prix,PIA,0.07776153832674026
2024,Hungarian Grand Prix,NOR,0.05553178861737251
2024,Italian Grand Prix,PIA,0.06815581768751144
2024,Japanese Grand Prix,HAM,0.10741695761680603
2024,Las Vegas Grand Prix,NOR,0.06015793979167938
2024,Mexico City Grand Prix,HAM,0.07828579097986221
2024,Monaco Grand Prix,HAM,0.09060941636562347
2024,Saudi Arabian Grand Prix,LEC,0.05835367739200592
2024,Singapore Grand Prix,NOR,0.05830476060509682
2024,Spanish Grand Prix,NOR,0.059704042971134186
